人生得意须尽欢,莫使金樽空对月
子规啼月小楼西,玉钩罗幕,惆怅暮烟垂
俱怀逸兴壮思飞,欲上青天揽明月
皑如山上雪,皎若云间月
孤灯不明思欲绝,卷帷望月空长叹
千门开锁万灯明,正月中旬动帝京
明月皎皎照我床,星汉西流夜未央
见梨花初带夜月,海棠半含朝雨
当其贯日月,生死安足论
西北望乡何处是,东南见月几回圆
今年八月十五夜,湓浦沙头水馆前
昔年八月十五夜,曲江池畔杏园边
腰若流纨素,耳著明月珰
视历复开书,便利此月内,六合正相应
家家乞巧望秋月,穿尽红丝几万条
暗尘随马去,明月逐人来
今夜鄜州月,闺中只独看
空樽夜泣,青山不语,残月当门
今夜月明人尽望,不知秋思落谁家
星垂平野阔,月涌大江流
九月九日望乡台,他席他乡送客杯
凭阑半日独无言,依旧竹声新月似当年
头上倭堕髻,耳中明月珠
离别家乡岁月多,近来人事半销磨
二十四桥仍在,波心荡、冷月无声
接汉疑星落,依楼似月悬
骝马新跨白玉鞍,战罢沙场月色寒
秦时明月汉时关,万里长征人未还
赧郎明月夜,歌曲动寒川
缺月挂疏桐,漏断人初静
轮台九月风夜吼,一川碎石大如斗,随风满地石乱走
撩乱边愁听不尽,高高秋月照长城
胡瓶落膊紫薄汗,碎叶城西秋月团
更吹羌笛关山月,无那金闺万里愁
待到秋来九月八,我花开后百花杀
大漠沙如雪,燕山月似钩
疏影横斜水清浅,暗香浮动月黄昏
思君令人老,岁月忽已晚
人悄悄,帘外月胧明
山寺月中寻桂子,郡亭枕上看潮头
五月天山雪,无花只有寒
当时明月在,曾照彩云归
凄凉别后两应同,最是不胜清怨月明中
归来饱饭黄昏后,不脱蓑衣卧月明
渌水净素月,月明白鹭飞
牵引条上儿,饮弄水中月
耐可乘明月,看花上酒船
高楼送客不能醉,寂寂寒江明月心
垆边人似月,皓腕凝霜雪
酒贱常愁客少,月明多被云妨
爱他明月好,憔悴也相关
齐唱宪王春乐府,金梁桥外月如霜
人生自是有情痴,此恨不关风与月
箫声咽,秦娥梦断秦楼月
秦楼月,年年柳色,灞陵伤别
关山三五月,客子忆秦川
朗月清风,浓烟暗雨,天教憔悴度芳姿
及时当勉励,岁月不待人
独出前门望野田,月明荞麦花如雪
来时浦口花迎入,采罢江头月送归
好风胧月清明夜,碧砌红轩刺史家
落木千山天远大,澄江一道月分明
回乐烽前沙似雪,受降城外月如霜
黄鹤楼中吹玉笛,江城五月落梅花
舞低杨柳楼心月,歌尽桃花扇影风
月黑见渔灯,孤光一点萤
秋鸿叫侣代云黑,猩猩夜啼蛮月明
若似长安月蚀时,满城敲鼓声噒噒,青山飞起不压物,野水流来欲湿人
此夜若无月,一年虚过秋
正月十七日,梦扁舟渡江,中流回望,楼中歌乐杂作
推枕惘然不见,但空江、月明千里
翰林风月三千首,寄与吴姬忍泪看
刚被太阳收拾去,却教明月送将来
衣杵相望深巷月,井桐摇落故园秋
三五年时三五月,可怜杯酒不曾消
三月咸阳城,千花昼如锦
暂伴月将影,行乐须及春
我歌月徘徊,我舞影零乱
且须饮美酒,乘月醉高台
月既不解饮,影徒随我身
举杯邀明月,对影成三人
一别如斯,落尽梨花月又西
幽州思妇十二月,停歌罢笑双蛾摧
平明偃月屯右地,薄暮鱼丽逐左贤
关山万里不可越,谁能坐对芳菲月
五月五日午,赠我一枝艾
坐看今夜关山月,思杀边城游侠儿
枝横却月观,花绕凌风台
落帽醉山月,空歌怀友生
去年东武今夕,明月不胜愁
春宵一刻值千金,花有清香月有阴
人悄悄,月依依
雾失楼台,月迷津渡
五月江吴麦秀寒,移秧披絮尚衣单
自有多情处,明月挂南楼
凉月如眉挂柳湾,越中山色镜中看
月到夜来愁处明,只照团衾凤
素月分辉,明河共影,表里俱澄澈
夜过也,东窗未白凝残月
画图省识春风面,环佩空归夜月魂
醉月频中圣,迷花不事君
后夜起相思,明月清江曲
月桥花院,琐窗朱户
秋空明月悬,光彩露沾湿
香阁掩,眉敛,月将沉
月傍苑楼灯影暗,风传阁道马蹄回
春还草阁梅先动,月满虚庭雪未消
解把飞花蒙日月,不知天地有清霜
二月江南花满枝,他乡寒食远堪悲
我醉拍手狂歌,举怀邀月,对影成三客
欲作鱼梁云复湍,因惊四月雨声寒
日居月诸,胡迭而微
夜热依然午热同,开门小立月明中
南北驱驰报主情,江花边月笑平生
万国笙歌醉太平,倚天楼殿月分明
却下水晶帘,玲珑望秋月
三月残花落更开,小檐日日燕飞来
古人今人若流水,共看明月皆如此
青天有月来几时,我今停杯一问之
唯愿当歌对酒时,月光长照金樽里
今人不见古时月,今月曾经照古人
人攀明月不可得,月行却与人相随
遥夜人何在,澄潭月里行
孟冬十月,北风徘徊,天气肃清,繁霜霏霏
非胸中有万卷书,笔下无一点尘俗气,孰能至是缺月挂疏桐,漏断人初静
戍楼刁斗催落月,三十从军今白发
阻风开步障,乘月溉寒泉
寄声月姊,借我玉鉴此中看
风波不信菱枝弱,月露谁教桂叶香
惆怅孤帆连夜发,送行淡月微云
兔苑词才去不还,兰亭水石空明月
流星透疏木,走月逆行云
五月榴花照眼明,枝间时见子初成
独立小桥风满袖,平林新月人归后
十月江南天气好,可怜冬景似春华
帘卷一钩新月、怯黄昏
楼头残梦五更钟,花底离情三月雨
山月不知心里事,水风空落眼前花,摇曳碧云斜
念月榭携手,露桥闻笛
水风轻,蘋花渐老,月露冷、梧叶飘黄
难忘,文期酒会,几孤风月,屡变星霜
知君用心如日月,事夫誓拟同生死
若似月轮终皎洁,不辞冰雪为卿热
别后唯所思,天涯共明月
四月清和雨乍晴,南山当户转分明
日月无偏照,何由诉苍昊
窥日畏衔山,促酒喜得月
十月到幽州,戈鋋若罗星
二月巴陵日日风,春寒未了怯园公
昨夜风开露井桃,未央前殿月轮高
落月满屋梁,犹疑照颜色
腊月闻山鸟,寒崖见蛰熊
阶下青苔与红树,雨中寥落月中愁
明月何皎皎,照我罗床帏
回舟不待月,归去越王家
五月西施采,人看隘若耶
可怜今夜月,不肯下西厢
凝霜夜下拂罗衣,浮云中断开明月
含光混世贵无名,何用孤高比云月
多情只有春庭月,犹为离人照落花
三年此夕月无光,明月多应在故乡
满城灯市荡春烟,宝月沉沉隔海天
好水好山看不足,马蹄催趁月明归
欲向海天寻月去,五更飞梦渡鲲洋
二月湖水清,家家春鸟鸣
暮从碧山下,山月随人归
松排山面千重翠,月点波心一颗珠
日色欲尽花含烟,月明欲素愁不眠
寻常一样窗前月,才有梅花便不同
昊天出华月,茂林延疏光
庭前八月梨枣熟,一日上树能千回
织女机丝虚月夜,石鲸鳞甲动秋风
请看石上藤萝月,已映洲前芦荻花
雁引愁心去,山衔好月来
听猿实下三声泪,奉使虚随八月查
那知今夜,月圆人缺
龙山万里无多远,留待行人二月归
残烛犹存月尚明,几家帏幌梦魂惊
叶声落如雨,月色白似霜
海风吹不断,江月照还空
曾批给雨支风券,累上留云借月章
片云天共远,永夜月同孤
水国蒹葭夜有霜,月寒山色共苍苍
无奈夜长人不寐,数声和月到帘栊
织女机丝虚月夜,石鲸鳞甲动秋风
请看石上藤萝月,已映洲前芦荻花
龙山万里无多远,留待行人二月归
残烛犹存月尚明,几家帏幌梦魂惊
叶声落如雨,月色白似霜
海风吹不断,江月照还空
曾批给雨支风券,累上留云借月章
片云天共远,永夜月同孤
水国蒹葭夜有霜,月寒山色共苍苍
无奈夜长人不寐,数声和月到帘栊
昨夜秋风入汉关,朔云边月满西山
非无江海志,萧洒送日月
何当破月氏,然后方高枕
边月随弓影,胡霜拂剑花
弯弓辞汉月,插羽破天骄
萤飞秋窗满,月度霜闺迟
醉舞下山去,明月逐人归
垆边人似月,皓腕凝双雪
幸有田园故里,聊分风月江城
走马西来欲到天,辞家见月两回圆
细雨春芜上林苑,颓垣夜月洛阳宫
龙笛远吹胡地月,燕钗初试汉宫妆
笙歌散后酒初醒,深院月斜人静
求之不可得,沿月棹歌还
东家老女嫁不售,白日当天三月半
钓罢归来不系船,江村月落正堪眠
近水楼台先得月,向阳花木易为春
花明月暗笼轻雾,今宵好向郎边去
老吟秋月下,病起暮江滨
江动月移石,溪虚云傍花
鹿门月照开烟树,忽到庞公栖隐处
去年五月黄梅雨,曾典袈裟籴米归
恼人风味阿谁知,请君问取南楼月
闻道欲来相问讯,西楼望月几回圆
月上屏帏,冷透人衣袂
寒月悲笳,万里西风瀚海沙
三月休听夜雨,如今不是催花
梦绕边城月,心飞故国楼
吹灯窗更明,月照一天白
霜月定相知,先识春风面
一任夜五月,何妨天不春
春风疑不到天涯,二月山城未见花
未春天似梦,彻夜月无言
忆君遥在潇湘月,愁听清猿梦里长
月黑雁飞高,单于夜遁逃
梨花院落溶溶月,柳絮池塘淡淡风
青山一道同云雨,明月何曾是两乡
北堂夜夜人如月,南陌朝朝骑似云
片片行云着蝉鬓,纤纤初月上鸦黄
登舟望秋月,空忆谢将军
空山梵呗静,水月影俱沉
春江月出大堤平,堤上女郎连袂行
丁丁漏水夜何长,漫漫轻云露月光
松风吹解带,山月照弹琴
风鸣两岸叶,月照一孤舟
渌水明秋月,南湖采白蘋
同来望月人何处,风影依稀似去年
从此无心爱良夜,任他明月下西楼
姑苏城外一茅屋,万树梅花月满天
李白前时原有月,惟有李白诗能说
青天无云月如烛,露泣梨花白如玉
今人犹歌李白诗,明月还如李白时
我学李白对明月,白与明月安能知
我愧虽无李白才,料应月不嫌我丑
两心不语暗知情,灯下裁缝月下行
李白如今已仙去,月在青天几圆缺
斜谷云深起画楼,散关月落开妆镜
落月西窗惊起,好个匆匆些子
多情谁似南山月,特地暮云开
寻章摘句老雕虫,晓月当帘挂玉弓
玄宗回马杨妃死,云雨难忘日月新
阳月南飞雁,传闻至此回
莫见长安行乐处,空令岁月易蹉跎
海上蟠桃易熟,人间好月长圆
潮落夜江斜月里,两三星火是瓜州
多少风前月下,迤逦天涯海角,魂梦亦凄凉
初月未终夕,边烽不过秦
独上高峰望八都,黑云散后月还孤
有人问我修行法,遥指天边日月轮
向夜在堂前,学人拜新月
日精自与月华合,有个明珠走上来
莲峰道士高且洁,不下莲宫经岁月
捉得金晶固命基,日魂东畔月华西
朝泛苍梧暮却还,洞中日月我为天
五月畲田收火米,三更津吏报潮鸡
扇裁月魄羞难掩,车走雷声语未通
蝉鸣空桑林,八月萧关道
天上秋期近,人间月影清
中和癸卯春三月,洛阳城外花如雪
大道俱成棘子林,行人夜宿墙匡月
那堪更被明月,隔墙送过秋千影
九月九日眺山川,归心归望积风烟
前年庚子腊月五,正闭金笼教鹦鹉
万里瞿唐月,春来六上弦
家住层城临汉苑,心随明月到胡天
夜深静卧百虫绝,清月出岭光入扉
农月无闲人,倾家事南亩
庭户无人秋月明,夜霜欲落气先清
火山五月行人少,看君马去疾如鸟
大漠山如雪,燕山月似钩
夜后邀陪明月,晨前命对朝霞
海底有明月,圆于天上轮
心事莫将和泪滴,凤笙休向月明吹
五原春色旧来迟,二月垂杨未挂丝
难将心事和人说,说与青天明月知
已去汉月远,何时筑城还
尘中见月心亦闲,况是清秋仙府间
桂子月中落,天香云外飘
明月断魂清霭霭,平芜归思绿迢迢
月明松下房栊静,日出云中鸡犬喧
在掌如珠异,当空似月圆
乾坤炉里炼,日月鼎中煎
楚客欲听瑶瑟怨,潇湘深夜月明时
晓月暂飞高树里,秋河隔在数峰西
朔风吹散三更雪,倩魂犹恋桃花月
一月不读书,耳目失精爽
可怜闺里月,长在汉家营
鸟栖红叶树,月照青苔地
火山六月应更热,赤亭道口行人绝
知君惯度祁连城,岂能愁见轮台月
楼写春云色,珠含明月辉
玳筵急管曲复终,乐极哀来月东出
八月长江万里晴,千帆一道带风轻
城头月没霜如水,趚趚踏沙人似鬼
榆柳萧疏楼阁闲,月明直见嵩山雪
自把玉钗敲砌竹,清歌一曲月如霜
弯弯月出挂城头,城头月出照梁州
松下茅亭五月凉,汀沙云树晚苍苍
妙应七星制,高分半月辉
月色灯山满帝都,香车宝盖隘通衢
沙场烽火连胡月,海畔云山拥蓟城
明月隐高树,长河没晓天
俯视清水波,仰看明月光
落星楼上吹残角,偃月营中挂夕晖
素娥惟与月,青女不饶霜
落落疏帘邀月影,嘈嘈虚枕纳溪声
护霜云映月朦胧,乌鹊争飞井上桐
斜日低山片月高,睡余行药绕江郊
雁声远过潇湘去,十二楼中月自明
皎皎窗中月,照我室南端
亹亹朞月周,戚戚弥相愍
岁寒无与同,朗月何胧胧
月未到诚斋,先到万花川谷
谁人爱明月,露坐洞庭船
不是诚斋无月,隔一林修竹
裁为合欢扇,团团似明月
感月吟风多少事,如今老去无成
对酒卷帘邀明月,风露透窗纱
青陵粉蝶休离恨,长定相逢二月中
拂拂风前度暗香,月色侵花冷
淮南皓月冷千山,冥冥归去无人管
脊令各有思归恨,日月相催雪满颠
思家步月清宵立,忆弟看云白日眠
雪消门外千山绿,花发江边二月晴
清风明月无人管,并作南楼一味凉
三峡楼台淹日月,五溪衣服共云山
晚风清近壑,新月照澄湾
明月皎夜光,促织鸣东壁
胡蝶梦中家万里,子规枝上月三更
秦女含颦向烟月,愁红带露空迢迢
乱烟笼碧砌,飞月向南端
陇头明月迥临关,陇上行人夜吹笛
伴人无寐,秦淮应是孤月
潭烟飞溶溶,林月低向后
二十五弦多少恨,算世间、那有平分月
醉中浑不记,归路月黄昏
津亭秋月夜,谁见泣离群
自我夜来霜月下,到头吟魄始终身
静夜沉沉,浮光霭霭,冷浸溶溶月
三十六宫愁重,问谁持金锸,和月都移
万里乡为梦,三边月作愁
高山流水琴三弄,明月清风酒一樽
云龙风虎尽交回,太白入月敌可摧
月照城头乌半飞,霜凄万树风入衣
残月出门时,美人和泪辞
松际露微月,清光犹为君
待到黄昏月上时,依旧柔肠断
梦魂惊,钟漏歇,窗外晓莺残月
孤灯闻楚角,残月下章台
日轮驻霜戈,月魄悬雕弓
汉帝高堂汗若珠,班姬明月无停影
月色驱秋下穹昊,梁间燕语辞巢早
竹里风生月上门,理秦筝,对云屏
林间鸟奏笙簧月,野外花含锦绣风
梯横画阁黄昏后,又还是、斜月帘栊
明月照高楼,流光正徘徊
月晦寒食天,天阴夜飞雪
沔水春深,屏山月淡,吟鞭俱到
元和岁在卯,六年春二月
箭逐云鸿落,鹰随月兔飞
永怀愁不寐,松月夜窗虚
三湘衰鬓逢秋色,万里归心对月明
月明星稀霜满野,毡车夜宿阴山下
三月正当三十日,风光别我苦吟身
胡人吹笛戍楼间,楼上萧条海月闲
云间征思断,月下归愁切
月下调鸣琴,相思此何极
长向月圆时候、望人归
洞房人静,斜月照徘徊
浅拂朱铅,春风二月梢头
扬帆采石华,挂席拾海月
有湖中月,江边柳,陇头云
寥廓秋云薄,空庭月影微
三五明月满,四五蟾兔缺
况屈指中秋,十分好月,不照人圆
只今惟有西江月,曾照吴王宫里人
莫教明月去,留著醉嫦娥
不信楼头杨柳月,玉人歌舞未曾归
明月照积雪,朔风劲且哀
任满地、月深云厚
昭阳桃李月,罗绮自相亲
雨过月华生,冷彻鸳鸯浦
更怜花月夜,宫女笑藏钩
此去与师谁共到,一船明月一帆风
正惊湍直下,跳珠倒溅；小桥横截,缺月初弓
倦倚玉阑看月晕,容易语低香近
长风挂席势难回,海动山倾古月摧
春风试暖昭阳殿,明月还过鳷鹊楼
碛里征人三十万,一时回向月明看
寒月上东岭,泠泠疏竹根
永王正月东出师,天子遥分龙虎旗
想佩环、月夜归来,化作此花幽独
谷静风声彻,山空月色深
秋山野客醉醒时,百尺老松衔半月
分携处,斜月小帘栊
幽居正想餐霞客,夜久月寒珠露滴
相看恍如昨,许多年月
秋昏塞外云,雾暗关山月
迁客此时徒极目,长洲孤月向谁明
跪进雕胡饭,月光明素盘
星临万户动,月傍九霄多
翡翠屏深月落,漏依依
半床落月蛩声病,万里寒云雁阵迟
此意仗江月,分付与沙鸥
离人无语月无声,明月有光人有情
醉里不知谁是我,非月非云非鹤
咫尺春三月,,寻常百姓家
天涯静处无征战,兵气销为日月光
对月清光,饮馀沆瀣,气逼人清煞
乘月听哀狖,浥露馥芳荪
水月通禅寂,鱼龙听梵声
别后相思人似月,云间水上到层城
雨洗东坡月色清,市人行尽野人行
念多情,但有当时皓月,向人依旧
灯前一觉江南梦,惆怅起来山月斜
不是暗尘明月,那时元夜
花满市,月侵衣
长信宫中秋月明,昭阳殿下捣衣声
林月值云遮,山灯照愁寂
昔我往矣,日月方除
昔我往矣,日月方奥
二月初吉,载离寒暑
月团新碾瀹花瓷,饮罢呼儿课楚词
遥知未眠月,乡思在渔歌
永夜角声悲自语,中天月色好谁看
系缆渔村,月暗孤灯火
碧烟中,明月下,小艇垂纶初罢
月明风露娟娟,人未眠
美人赠我貂襜褕,何以报之明月珠
水云间,山月里,棹月穿云游戏
皓月流春城,华露积芳草
六月栖栖,戎车既饬
二月河魁将,三千太乙军
初八月,半镜上青霄
维此六月,既成我服
风吹古木晴天雨,月照平沙夏夜霜
白云千里万里,明月前溪后溪
夜来江上如钩月,时有惊鱼掷浪声
虽缘草成质,不借月为光
江流浩淼江月堕,此时君亦应思我
秋风远塞皂雕旗,明月高台金凤怀
醉看风落帽,舞爱月留人
忽忆去年风月夜,与君展卷论王霸
金谷园中荒映月,石头城下碧连秋
镜水夜来秋月,如雪
眷西谓初月,顾东疑落日
地疑明月夜,山似白云朝
过松江,尽属侬家日月
君行四月草萋萋,柳花桃花半委泥
斫却月中桂,清光应更多
灭烛却延明月,揽衣先怯微凉
夜深江月弄清辉,水上人歌月下归；一阕声长听不尽,轻舟短楫去如飞
东风柳陌长,闭月花房小
月华如水,波纹似练,几簇淡烟衰柳
无语问添衣,桐阴月已西
星辰往往壶中见,日月时时衲里藏
洞里风雷归掌握,壶中日月在胸襟
枕上山河和雨露,笛中日月混潇湘
星辰聚会入离乡,日月盈亏助药王
待月池台空逝水,荫花楼阁漫斜晖,登临不惜更沾衣
物外烟霞为伴侣,壶中日月任婵娟
月圆自觉离天网,功满方知出地罗
麒麟意合乾坤地,獬豸机关日月东
如何雪月交光夜,更在瑶台十二层
曾邀相访到仙家,忽上昆仑宴月华
但得烟霞供岁月,任他乌兔走乾坤
姮娥月桂花先吐,王母仙桃子渐成
碧洞远观明月上,青山高隐彩云流
日月暗扶君甲子,乾坤自与我知音
隔江看树色,沿月听歌声
怒拔昆吾歌圣化,喜陪孤月贺新年
候馆灯昏雨送凉,小楼人静月侵床
日为和解月呼丹,华夏诸侯肉眼看
唯应孤镜里,明月长愁颜
辇下风光,山中岁月,海上心情
四月南风大麦黄,枣花未落桐阴长
渚云低暗度,关月冷遥随
风清月莹,天然标韵,自是闺房之秀
日月何忙忙,出没住不得
多事年年二月风,翦出鹅黄缕
迥起波摇楚,寒栖月映蒲
莫道弦歌愁远谪,青山明月不曾空
如梦,如梦,残月落花烟重
想故国、高台月明
伤心千古,秦淮一片明月
人悄悄,月依依,翠帘垂
予裴回茉莉花间,仰见秋月,顿起幽思,寻亦得此
万顷波光摇月碎,一天风露藕花香
明月谁同我,悠悠上帝都
与月交光呈瑞色,共花争艳傍寒梅
新月娟娟,夜寒江静山衔斗
太虚生月晕,舟子知天风
渴饮月窟冰,饥餐天上雪
旧时月色,算几番照我,梅边吹笛
客馆夜惊尘土梦,宫车晓转关山月
止既月,授简索句,且征新声,作此两曲
残月脸边明,别泪临清晓
寂历秋江渔火稀,起看残月映林微
离恨满,甚月明、偏照小窗
寻常风月,等闲谈笑,称意即相宜
八月奔涛,千尺崔嵬,砉然欲惊
空有姑苏台上月,如西子镜照江城
日出唱歌去,月明抚掌归
芳音何更妙,清月共婵娟
中庭月色正清明,无数杨花过无影
胡风似剑锼人骨,汉月如钩钓胃肠
九月寒砧催木叶,十年征戍忆辽阳
谁谓含愁独不见,更教明月照流黄
汉月垂乡泪,胡沙费马蹄
五月临平山下路,藕花无数满汀州
云来气接巫峡长,月出寒通雪山白
空有当年旧烟月,芙蓉城上哭蛾眉
日月阳止,女心伤止,征夫遑止
二月三月雨晴初,舍南舍北唯平芜
紫袖红弦明月中,自弹自感暗低容
今夜月明江上、酒初醒
便假饶月里,姮娥见在,从他越国,有貌西施
二月二日江上行,东风日暖闻吹笙
腊月草根甜,天街雪似盐
每逢明月夜,长起故山思
弓弦抱汉月,马足践胡尘
二月东风来,草拆花心开
长簟迎风早,空城澹月华
楼上黄昏欲望休,玉梯横绝月中钩
九攻虽不战,五月尚持戎
几时杯重把,昨夜月同行
太原毯涩毳缕硬,蜀都褥薄锦花冷,不如此毯温且柔,年年十月来宣州
九月西风兴,月冷露华凝
六月初七日,江头蝉始鸣
去岁江南见雪时,月底梅花发
月上蝉韵残,梧桐阴绕地
天含青海道,城头月千里
抱墙溪水弯环碧,月色清华
峻似吕梁千仞,壮似钱塘八月,直下洗尘寰
明月如霜,照见人如画
洛阳三月花如锦,多少工夫织得成
今岁早梅开,依旧年时月
何用高唐峡,风枝扫月明
雪月最相宜,梅雪都清绝
尊中绿醑意中人,花朝月夜长相见
孤月当楼满,寒江动夜扉
四月维夏,六月徂署
举手可近月,前行若无山
卷帘残月影,高枕远江声
雨暗不离浓绿树,月斜长吊欲明天
惆怅晓莺残月,相别,从此隔音尘
三月桃花浪,江流复旧痕
凌波仙子生尘袜,水上轻盈步微月
何况酒醒梦断,花谢月朦胧
深夜无风新雨歇,凉月,露迎珠颗入圆荷
芙蓉露下落,杨柳月中疏
胡笳千古恨,一片月临城
前月发安西,路上无停留
西南月上浮云散,轩槛凉生
可怜今夕月,向何处、去悠悠
长干吴儿女,眉目艳新月
我在巴东三峡时,西看明月忆峨眉
子规声外,晓风残月
月出峨眉照沧海,与人万里长相随
黄鹤楼前月华白,此中忽见峨眉客
八年十二月,五日雪纷纷
峨眉山月还送君,风吹西到长安陌
孤月沧浪河汉清,北斗错落长庚明
苍苍金陵月,空悬帝王州
回首昭阳离落日,伤心铜雀迎秋月
鹊辞穿线月,花入曝衣楼
万里浮云卷碧山,青天中道流孤月
相看月未堕,白地断肝肠
鱼目亦笑我,请与明月同
夜寒茅店不成眠,残月照吟鞭
一振高名满帝都,归时还弄峨眉月
镜湖水如月,耶溪女似雪
长安大道横九天,峨眉山月照秦川
心飞秦塞云,影滞楚关月
绪风初减热,新月始临秋
雾柳暗时云度月,露荷翻处水流萤
明月黄河夜,寒沙似战场
九月江南花事休,芙蓉宛转在中洲
微云吹散,凉月堕平波
月在众峰顶,泉流乱叶中
明月空庭如水似华年
笛奏梅花曲,刀开明月环
昔年曾向五陵游,子夜歌清月满楼
玉楼珠殿,相映月轮边
中秋一轮月,只和旧青冥
五月五日天晴明,杨花绕江啼晓莺
认取眼前流景,试看月归何处,因甚有亏盈
前年伐月支,城上没全师
后夜相思,尘随马去,月逐舟行
人说病宜随月减,恹恹却与春同
晓月过残垒,繁星宿故关
鹤瘦松青,精神与、秋月争明
点上纱笼画烛,花骢弄、月影当轩
灯在月胧明,玉钩褰翠幕,妆浅旧眉薄
唤起一天明月,照我满怀冰雪,浩荡百川流
玉楼明月长相忆,柳丝袅娜春无力
剑花寒不落,弓月晓逾明
仙掌月明孤影过,长门灯暗数声来
溪上寒梅初满枝,夜来霜月透芳菲
一年明月今宵多,人生由命非由他
寒月摇清波,流光入窗户
天秋月又满,城阙夜千重
明月来鞍上,浮云落盖中
随人敲铜镜,街头救明月
春水月峡来,浮舟望安极
千里万里,二月三月,行色苦愁人
惟有两行低雁,知人倚、画楼月
纤云四卷天无河,清风吹空月舒波
流目浦烟夕,扬帆海月生
月明移舟去,夜静魂梦归
黄尘古渡迷飞挽,白月横空冷战场
嘉陵江曲曲江池,明月虽同人别离
自去自来人不知,归时常对空山月
或定或摇江上柳,为鸾为凤月中篁
二八蛾眉双凤吹,满天明月按凉州
怨月恨花烦恼,不是不曾经著
凡鸟爱喧人静处,闲云似妒月明时
夜半李陵台上月,可能还似汉宫圆
啼归明月落边树,飞入百花深处烟
花久影吹笙,满地淡黄月
江城回绿水,花月使人迷
凉月风光三夜好,老夫怀抱一生休
扬兵猎月窟,转战略朝那
千尺长条百尺枝,月桂星榆相蔽亏
送君九月交河北,雪里题诗泪满衣
蝴蝶不传千里梦,子规叫断三更月
五月虽热麦风清,檐头索索缲车鸣
不寐亦不语,片月秋稍举
何时共泛春溪月,断岸垂杨一叶舟
江上柳如烟,雁飞残月天
称琴边月夜,笛里霜晓
